time,acceleration,activity
2880.701,1.8389,walk
660.641,-3.0362,unknown
2653.301,-5.1015,walk
2384.781,-5.2697,walk
1132.961,-4.1294,walk
2558.641,-2.4928,walk
569.471,-2.7246,unknown
1154.761,-3.4117,walk
815.611,-2.8816,unknown
358.541,-2.3235,unknown
3704.481,-2.5573,walk
919.331,-0.8821,walk
732.371,-2.8349,unknown
487.771,-1.3834,unknown
759.281,-2.9916,unknown
919.451,-3.7749,walk
2478.391,-0.629,walk
1938.341,-2.7868,unknown
2588.521,4.9819,walk
2061.851,-4.3273,walk
938.811,-1.1934,walk
2799.491,-3.4101,walk
3744.451,-5.9301,walk
821.851,-2.8417,unknown
318.921,-1.4303,unknown
326.261,-1.2693,unknown
1672.341,-3.7482,walk
2616.031,-2.4699,walk
1270.841,-2.233,walk
1857.861,-2.2396,unknown
2757.931,-3.9946,trot
757.211,-2.9524,unknown
330.491,-2.0523,unknown
1356.271,-4.5703,walk
1635.051,4.9522,trot
2493.931,-1.3743,walk
3783.191,-2.7764,unknown
287.411,-1.3652,unknown
3025.641,-3.3798,walk
692.971,-2.9012,unknown
2491.011,-1.8159,walk
955.891,-3.2374,walk
3783.011,-3.3395,unknown
3358.641,-2.801,walk
1751.311,-4.3968,walk
272.681,-1.2845,unknown
2439.151,-3.4322,walk
3316.441,-4.7495,walk
3886.411,-1.3224,unknown
2148.481,-1.745,walk
2667.101,-4.2821,walk
1408.521,-2.3805,walk
1520.631,-5.4679,walk
438.171,-4.7797,unknown
88.501,-1.3293,unknown
2701.111,-2.7479,walk
1719.991,-4.0065,walk
1045.811,-3.1534,walk
1329.201,-2.3974,walk
882.991,-3.0552,unknown
2261.691,-2.5054,walk
1735.211,-2.9224,walk
1363.351,-4.2604,walk
912.491,-2.5761,unknown
312.041,-1.3438,unknown
3020.791,-0.5178,walk
1668.301,-3.3476,walk
2119.661,-1.0929,walk
3096.961,0.1193,walk
1185.561,-3.7922,walk
3108.871,-3.9003,unknown
3576.211,-5.4057,unknown
3394.571,-4.4602,walk
3525.221,-2.6103,walk
1208.841,-2.9201,walk
2679.221,-3.0974,unknown
736.141,-2.8238,unknown
3596.121,-1.5951,walk
2071.471,-3.311,walk
289.361,-1.1581,unknown
2065.351,-2.274,walk
266.751,-1.6292,unknown
300.651,3.0365,unknown
770.641,-2.8324,unknown
2020.631,-3.2079,walk
747.281,-3.0645,unknown
2642.791,-6.046,unknown
3019.511,-2.7138,walk
2243.491,-4.2038,walk
1613.791,3.0624,trot
641.461,-3.3336,unknown
2369.681,-3.6654,walk
753.471,-2.9111,unknown
3738.831,0.5157,walk
2492.821,-0.7133,walk
48.601,-1.5291,unknown
2166.671,-2.2113,walk
3835.771,-1.4228,unknown
3416.891,-4.2317,unknown
2010.381,-3.4682,walk
3147.501,-5.9973,walk
2582.211,-4.7381,walk
2734.561,-3.6901,walk
722.551,-2.6572,unknown
846.391,-3.0573,unknown
2229.581,-1.5989,walk
3725.731,-2.9385,walk
1459.351,-0.9469,walk
1737.031,-3.0248,walk
2736.291,-1.2223,walk
3508.221,-5.6254,trot
1314.561,-4.6887,walk
3632.161,-0.9454,walk
1054.501,-4.3818,walk
900.891,-0.3772,unknown
2121.261,-4.2464,walk
2595.601,-0.1551,walk
170.321,-1.3752,unknown
1848.591,-2.755,unknown
2763.381,2.0548,trot
3604.811,-1.7634,unknown
2931.331,-0.8895,walk
2469.321,-1.4289,walk
3773.421,-2.8547,unknown
2498.411,0.8025,walk
1678.671,-5.5105,walk
877.171,-1.5479,unknown
3457.051,-5.0378,walk
1432.071,-3.1693,walk
3821.611,-1.3981,unknown
3115.031,-1.1159,trot
1755.911,-4.1001,walk
1377.961,-1.0723,walk
3871.931,-1.6507,unknown
2257.001,-4.0884,walk
3108.111,-1.1011,walk
459.401,0.8709,unknown
2091.671,-4.2602,walk
